Date	Max	Min	Avg
1/1/2023	45	37	41
1/2/2023	43	32	37.5
1/3/2023	48	39	43.5
1/4/2023	44	33	38.5
1/5/2023	34	32	33
1/6/2023	34	25	29.5
1/7/2023	32	27	29.5
1/8/2023	33	26	29.5
1/9/2023	44	25	34.5
1/10/2023	50	34	42
1/11/2023	57	38	47.5
1/12/2023	43	36	39.5
1/13/2023	36	26	31
1/14/2023	31	24	27.5
1/15/2023	44	26	35
1/16/2023	52	40	46
1/17/2023	49	37	43
1/18/2023	41	36	38.5
1/19/2023	42	34	38
1/20/2023	35	29	32
1/21/2023	32	28	30
1/22/2023	34	26	30
1/23/2023	30	21	25.5
1/24/2023	36	28	32
1/25/2023	34	31	32.5
1/26/2023	32	15	23.5
1/27/2023	36	13	24.5
1/28/2023	31	19	25
1/29/2023	31	18	24.5
1/30/2023	18	5	11.5
1/31/2023	12	-1	5.5
2/1/2023	27	6	16.5
2/2/2023	33	10	21.5
2/3/2023	11	-1	5
2/4/2023	42	11	26.5
2/5/2023	41	28	34.5
2/6/2023	47	23	35
2/7/2023	51	32	41.5
2/8/2023	44	27	35.5
2/9/2023	42	36	39
2/10/2023	38	27	32.5
2/11/2023	47	23	35
2/12/2023	52	30	41
2/13/2023	52	34	43
2/14/2023	55	33	44
2/15/2023	51	34	42.5
2/16/2023	35	24	29.5
2/17/2023	26	17	21.5
2/18/2023	44	25	34.5
2/19/2023	51	38	44.5
2/20/2023	48	29	38.5
2/21/2023	40	24	32
2/22/2023	36	33	34.5
2/23/2023	40	23	31.5
2/24/2023	29	18	23.5
2/25/2023	38	26	32
2/26/2023	52	28	40
2/27/2023	58	38	48
2/28/2023	52	38	45
3/1/2023	56	38	47
3/2/2023	40	33	36.5
3/3/2023	38	33	35.5
3/4/2023	50	29	39.5
3/5/2023	50	31	40.5
3/6/2023	55	40	47.5
3/7/2023	45	36	40.5
3/8/2023	47	36	41.5
3/9/2023	40	33	36.5
3/10/2023	37	33	35
3/11/2023	39	32	35.5
3/12/2023	37	30	33.5
3/13/2023	33	26	29.5
3/14/2023	38	20	29
3/15/2023	50	23	36.5
3/16/2023	50	41	45.5
3/17/2023	47	21	34
3/18/2023	25	12	18.5
3/19/2023	40	19	29.5
3/20/2023	52	30	41
3/21/2023	54	37	45.5
3/22/2023	53	40	46.5
3/23/2023	48	36	42
3/24/2023	45	35	40
3/25/2023	44	34	39
3/26/2023	48	34	41
3/27/2023	46	32	39
3/28/2023	51	30	40.5
3/29/2023	42	29	35.5
3/30/2023	57	27	42
3/31/2023	70	49	59.5
4/1/2023	48	32	40
4/2/2023	56	30	43
4/3/2023	64	44	54
4/4/2023	69	44	56.5
4/5/2023	72	38	55
4/6/2023	52	32	42
4/7/2023	49	35	42
4/8/2023	63	36	49.5
4/9/2023	68	41	54.5
4/10/2023	71	49	60
4/11/2023	79	52	65.5
4/12/2023	82	57	69.5
4/13/2023	83	57	70
4/14/2023	83	56	69.5
4/15/2023	83	64	73.5
4/16/2023	64	34	49
4/17/2023	39	32	35.5
4/18/2023	58	33	45.5
4/19/2023	64	42	53
4/20/2023	79	48	63.5
4/21/2023	63	44	53.5
4/22/2023	47	35	41
4/23/2023	42	36	39
4/24/2023	54	36	45
4/25/2023	46	35	40.5
4/26/2023	52	31	41.5
4/27/2023	67	37	52
4/28/2023	63	45	54
4/29/2023	59	43	51
4/30/2023	48	40	44
5/1/2023	50	40	45
5/2/2023	54	42	48
5/3/2023	59	38	48.5
5/4/2023	72	42	57
5/5/2023	78	55	66.5
5/6/2023	78	59	68.5
5/7/2023	87	58	72.5
5/8/2023	60	51	55.5
5/9/2023	70	46	58
5/10/2023	81	49	65
5/11/2023	84	55	69.5
5/12/2023	77	57	67
5/13/2023	70	56	63
5/14/2023	63	52	57.5
5/15/2023	68	51	59.5
5/16/2023	81	51	66
5/17/2023	61	45	53
5/18/2023	75	44	59.5
5/19/2023	76	54	65
5/20/2023	73	47	60
5/21/2023	81	54	67.5
5/22/2023	83	55	69
5/23/2023	86	57	71.5
5/24/2023	67	52	59.5
5/25/2023	62	46	54
5/26/2023	70	45	57.5
5/27/2023	74	47	60.5
5/28/2023	80	53	66.5
5/29/2023	86	53	69.5
5/30/2023	91	59	75
5/31/2023	91	69	80
6/1/2023	91	68	79.5
6/2/2023	91	65	78
6/3/2023	87	63	75
6/4/2023	77	59	68
6/5/2023	84	56	70
6/6/2023	77	61	69
6/7/2023	75	55	65
6/8/2023	75	51	63
6/9/2023	83	55	69
6/10/2023	86	62	74
6/11/2023	64	50	57
6/12/2023	70	49	59.5
6/13/2023	65	55	60
6/14/2023	77	59	68
6/15/2023	80	53	66.5
6/16/2023	68	52	60
6/17/2023	81	53	67
6/18/2023	86	60	73
6/19/2023	87	61	74
6/20/2023	83	60	71.5
6/21/2023	88	61	74.5
6/22/2023	86	66	76
6/23/2023	86	65	75.5
6/24/2023	93	66	79.5
6/25/2023	86	68	77
6/26/2023	75	68	71.5
6/27/2023	78	63	70.5
6/28/2023	85	58	71.5
6/29/2023	88	72	80
6/30/2023	91	72	81.5
7/1/2023	86	72	79
7/2/2023	73	66	69.5
7/3/2023	88	64	76
7/4/2023	92	70	81
7/5/2023	91	71	81
7/6/2023	82	66	74
7/7/2023	81	64	72.5
7/8/2023	76	64	70
7/9/2023	85	61	73
7/10/2023	87	65	76
7/11/2023	86	69	77.5
7/12/2023	76	64	70
7/13/2023	78	63	70.5
7/14/2023	90	68	79
7/15/2023	85	70	77.5
7/16/2023	81	67	74
7/17/2023	80	66	73
7/18/2023	81	63	72
7/19/2023	86	63	74.5
7/20/2023	87	68	77.5
7/21/2023	82	64	73
7/22/2023	85	65	75
7/23/2023	84	64	74
7/24/2023	89	68	78.5
7/25/2023	91	70	80.5
7/26/2023	90	71	80.5
7/27/2023	92	72	82
7/28/2023	93	70	81.5
7/29/2023	83	69	76
7/30/2023	80	67	73.5
7/31/2023	83	64	73.5
8/1/2023	85	69	77
8/2/2023	85	68	76.5
8/3/2023	90	67	78.5
8/4/2023	86	70	78
8/5/2023	77	69	73
8/6/2023	73	66	69.5
8/7/2023	82	66	74
8/8/2023	85	64	74.5
8/9/2023	79	66	72.5
8/10/2023	86	65	75.5
8/11/2023	85	70	77.5
8/12/2023	87	68	77.5
8/13/2023	81	66	73.5
8/14/2023	76	64	70
8/15/2023	78	62	70
8/16/2023	82	60	71
8/17/2023	80	63	71.5
8/18/2023	79	59	69
8/19/2023	84	63	73.5
8/20/2023	91	70	80.5
8/21/2023	82	69	75.5
8/22/2023	90	69	79.5
8/23/2023	98	77	87.5
8/24/2023	100	75	87.5
8/25/2023	82	71	76.5
8/26/2023	77	63	70
8/27/2023	75	61	68
8/28/2023	82	59	70.5
8/29/2023	87	63	75
8/30/2023	71	55	63
8/31/2023	79	54	66.5
9/1/2023	85	58	71.5
9/2/2023	89	64	76.5
9/3/2023	94	70	82
9/4/2023	94	71	82.5
9/5/2023	94	74	84
