,started_at_day,start_station_name_,ride_count_casual,ride_count_member,average_time_casual,average_time_member,total_rides
1263,Friday,Streeter Dr & Grand Ave,6625,2206,46.90309433962264,22.271532184950136,8831
263,Friday,DuSable Lake Shore Dr & Monroe St,4121,1209,58.16889104586266,23.156327543424318,5330
561,Friday,Michigan Ave & Oak St,3341,1927,38.1628255013469,21.2008303061754,5268
166,Friday,Clark St & Elm St,1601,3641,28.376639600249845,11.865696237297445,5242
439,Friday,Kingsbury St & Kinzie St,1265,3725,21.421343873517788,9.700671140939598,4990
1316,Friday,Wells St & Concord Ln,1804,3047,18.68237250554324,12.387266163439449,4851
264,Friday,DuSable Lake Shore Dr & North Blvd,2637,1760,38.57717102768297,17.925568181818182,4397
1317,Friday,Wells St & Elm St,1465,2907,17.34948805460751,11.256621947024424,4372
65,Friday,Broadway & Barry Ave,1465,2697,19.900341296928328,13.085279940674823,4162
567,Friday,Millennium Park,2787,1349,51.621815572299965,21.848035581912526,4136
2595,Monday,Streeter Dr & Grand Ave,5270,1969,59.43965844402277,19.966988318943628,7239
1817,Monday,Kingsbury St & Kinzie St,1118,4146,13.886404293381037,9.244573082489147,5264
1573,Monday,Clinton St & Washington Blvd,794,4066,17.870277078085643,11.940482046237088,4860
1546,Monday,Clark St & Elm St,1188,3416,26.271885521885523,12.117096018735364,4604
1642,Monday,DuSable Lake Shore Dr & North Blvd,2282,2115,35.64504820333041,17.584397163120567,4397
1940,Monday,Michigan Ave & Oak St,2493,1824,59.53710389089451,20.47532894736842,4317
1641,Monday,DuSable Lake Shore Dr & Monroe St,3283,996,58.78708498324703,23.349397590361445,4279
2613,Monday,University Ave & 57th St,916,3087,19.106986899563317,9.593456430191123,4003
2648,Monday,Wells St & Concord Ln,1229,2730,29.189585028478437,12.0007326007326,3959
1569,Monday,Clinton St & Madison St,714,3021,15.543417366946779,10.424362793776895,3735
3937,Saturday,Streeter Dr & Grand Ave,11246,3435,50.17366174639872,21.699563318777294,14681
2974,Saturday,DuSable Lake Shore Dr & Monroe St,7964,2125,46.99347061778001,24.853176470588235,10089
3274,Saturday,Michigan Ave & Oak St,5399,2214,44.64104463789591,23.004516711833784,7613
2975,Saturday,DuSable Lake Shore Dr & North Blvd,4830,2681,34.69192546583851,21.87728459530026,7511
3941,Saturday,Theater on the Lake,3988,2621,39.899448345035104,22.225867989317056,6609
3990,Saturday,Wells St & Concord Ln,2769,3585,23.25243770314193,12.800278940027894,6354
3280,Saturday,Millennium Park,4675,1354,83.49582887700535,22.63293943870015,6029
2884,Saturday,Clark St & Lincoln Ave,2955,2996,36.74551607445009,14.330440587449933,5951
2877,Saturday,Clark St & Elm St,2185,3178,22.709839816933638,12.67023285084959,5363
2978,Saturday,Dusable Harbor,3940,1321,47.66142131979696,23.476911430734294,5261
5264,Sunday,Streeter Dr & Grand Ave,8604,2774,59.26906090190609,22.222062004325885,11378
4317,Sunday,DuSable Lake Shore Dr & Monroe St,5933,1814,56.390527557727964,27.35226019845645,7747
4615,Sunday,Michigan Ave & Oak St,4539,2156,51.17713152676801,22.78617810760668,6695
4318,Sunday,DuSable Lake Shore Dr & North Blvd,3976,2607,47.44265593561368,20.030686612965095,6583
5268,Sunday,Theater on the Lake,3514,2519,36.13887307911212,21.993648273124254,6033
4621,Sunday,Millennium Park,4114,1211,63.73407875546913,22.319570602807598,5325
